Receiver_Name,Number_of_Claims
Shelly Castillo,1
Stephen Harris,1
John Williams,1
Alexis Rodriguez,1
James Lewis,1
Danny Palmer,1
Jeffrey Turner,1
Janet Newton,1
Christopher Sellers,1
Shannon Jensen,1
Matthew Sanchez,1
Jonathon Gregory,1
Felicia Glover,1
Kyle Scott,1
James Brown,1
Matthew Morgan,1
Nancy Jones,1
Jose Vance,1
Bridget Williams,1
Emma Anderson,1
Mary Wilson,1
Emily Gallagher,1
Cassandra Yoder,1
Timothy Burns,1
Monica Phillips,1
Melissa Lee,1
Beth Phillips,1
Laura Robertson,1
David Kennedy,1
Lee Nunez,1
Caitlin Cobb,1
Robert Becker,1
Anthony Garcia,1
Taylor Miller,1
Cody Meyer,1
James Miller,1
Victoria Torres,1
Jeffrey Wilson,1
Jeffrey Cooper,1
Samantha Ellison,1
Kylie Young,1
Jennifer Wright,1
Michelle Reed,1
Jessica Stephens,1
Mary Anderson,1
Andrew Gray,1
Terrence Wagner,1
Jo Martinez,1
Christopher Diaz,1
Ashley Harris,1
Dana Williams,1
Katherine Houston,1
David Mendoza,1
Joshua Mendoza,1
Lori Peters,1
Scott Smith,1
Jeremy Robinson,1
Cory Johnson,1
Bridget Hill,1
Kristen Foster,1
Aaron Rios,1
Matthew Davis,1
Donald Caldwell,1
Michelle Riley,1
Amanda Kline,1
Abigail Crawford,1
Katelyn Proctor,1
Katrina Cruz,1
Kelly Walls,1
Kimberly Ware,1
Donna Terry,1
Dr. Wendy Terrell,1
John Harris,1
Jacob Horton,1
Allison Pennington,1
Caitlin Bennett,1
Samantha Gomez,1
Donald Anderson,1
Donald Moore,1
Mr. Joseph Herring,1
Brandon Rice,1
Danielle Bullock,1
Thomas Villanueva,1
Joanna Black,1
Patricia Hardy,1
Brittany Taylor,1
April Miller,1
