Receiver_Name,Avg_Quantity
Tara Johns,42
Joseph Bowman,18
David Mendoza,12
Alexander Walsh,28
Michael Carter,29
Anthony Cochran,35
Nicole Brown,16
Renee Campbell,33
Joseph Williams,26
Kristin Scott,26
Diana Fisher,25
Mandy Sutton PhD,15
Alicia Thomas,27
James Gardner,17
Paul Lee,17
Suzanne Velasquez,17
Mary Salazar,27
Kylie Young,33
Gary Adams,19
Nicole Reid,19
Lindsey Lewis,18
Mark Lewis,30
Sharon Wood,26
Jennifer Nelson,35
James Miller,19
Tyler Christensen,4
Ronald Miller,19
Alexander Dean,30
Shawn Mills,28
Amanda Brown,8
Elizabeth Cochran,31
Betty Reid,23
Kyle Kerr,17
Seth Esparza,25
Joseph Davis,30
Taylor Mann,20
Tara Graham,20
Christopher Diaz,30
Madison Myers,33
Jennifer Bishop,33
Tammy Boone,24
Nathan Willis,16
Christopher Sellers,15
Jeffrey Turner,47
Rebecca Sanchez,33
Karen Stafford,17
Dana Williams,36
Harold Bowen,22
Zachary Lewis,22
Brent Anderson,30
Sean Wolf,32
Kimberly Nelson,26
Debra Webster,30
Taylor Miller,35
Linda Banks,15
Hayden Hill,27
Patricia Hardy,42
Patrick Campbell,39
Michael English,32
Emily Christian,28
Matthew Tran,33
Jeremy Robinson,29
Gregory Murphy,24
Jeffrey Cooper,16
Jessica Stephens,26
Amy Thomas,40
Aaron Keller,39
Jimmy Morton,46
Shane Stein,46
Paul Evans,25
Matthew Johnson,2
Brandi Buckley,14
Eugene Beltran,16
Brendan Vargas,31
Mary Anderson,4
Jessica Grant,30
Lindsay Garcia,7
Felicia Glover,18
Scott Craig,26
Wesley Thompson,23
Jessica Camacho,31
Rose Powell,26
Andrea Hansen,25
Patricia Smith,42
Alexander Mullins,49
Cheryl Dillon,26
Kelly Barber,31
Paul Carter,38
Erika Lopez,39
Kristi Wagner,38
Terrence Wagner,7
Diana Blair,19
Christopher Garcia,14
Tina Watkins,14
Nathan May,27
Kenneth Baker,31
Regina Munoz,12
Natalie Navarro,27
Jade Jackson,41
Timothy Burns,25
John Reeves,38
Katelyn Proctor,34
Kimberly Ware,29
Nathan Gonzales,44
Johnny Page,34
Lori Peters,13
Kimberly Lindsey,14
Samuel Lewis,26
Thomas Johnson,24
Lisa Cruz,35
Barbara Velasquez,35
Hannah Reynolds,38
Jennifer Clark,7
Justin Powell,42
Glenn Anthony,21
Kiara Martinez,19
Robin Pena,40
Emily Turner,34
Eric Carrillo,27
Dr. Matthew Hughes DDS,29
Christopher Lozano,16
James Brown,28
Kelly Buchanan,42
Ann Odonnell,31
Corey Lamb,13
Brian Blankenship,10
Emma Anderson,16
Jason Hughes,28
Rachel Rios,28
William Frederick,21
Pamela Harris,21
Scott Schroeder,16
Jose Rivas,31
Walter Carter,18
Michael Townsend,34
Laura Marshall,18
Scott Brown,49
Christopher Gonzalez,49
Emily Gallagher,19
David Sellers DVM,32
Michael Walls,23
Robert Becker,34
Destiny Maldonado,40
Peggy Knight,50
Jordan Hart,26
Anita Kerr,26
Autumn Reed,16
Peter Gonzalez,42
Kristina Vargas,36
Thomas Myers,34
Monica Phillips,27
Oscar Bauer,23
Aaron Rios,21
Michael Lewis,9
Michelle Cook,25
Mary Morrow,21
Danny Randolph,30
Victor Crawford,24
Wanda Wise,14
Nicole Walker,17
Matthew Mendez,34
Audrey Perez,45
Rachel Carson,10
Kevin Blair,22
Katherine Houston,36
Julie Dickerson,36
Kathleen Watkins,27
Matthew Curtis,25
Laurie Alvarez,32
David Hull,32
Taylor Wolfe,25
Tara Bauer,7
Peter Allen,5
Calvin Lucas,13
David Turner,31
Morgan Massey,15
Carrie Hess,3
Julie Brown,25
Matthew Brown,36
Daniel Williams,50
Victoria Torres,28
David Carney,29
Brian Fischer,28
Robert Kim,23
Nichole Lewis,40
Stephanie Mathews,30
Ashley Mckee,26
Steven Griffin,45
Derrick Curtis,33
Susan Green,19
Jonathon Gregory,17
Tiffany Rodriguez,40
Lisa Eaton,28
William Fox,12
Michael Johnson,8
Erika Rose,31
Brady Lopez,42
Jason Lowe,28
Deborah Smith,42
Amber Cruz,18
John Byrd,30
Jennifer Hughes,7
Kelly Walls,4
Patricia Stevens,35
Chad Vaughn,23
Jeffrey Wilson,13
Robin Ross,23
Brendan Farley,29
Ashley Martinez,30
Michael Curtis,5
Nicholas Peterson,43
Pamela Finley,42
David Castro,22
Kyle Johnson,26
Shelby Rice,15
Holly Aguilar,36
Matthew Pearson,36
Ashley Harris,35
Amber Hobbs,26
Brandon Riley,26
Tammy Walker MD,32
Matthew Simmons PhD,4
Rebecca Chan,31
Drew Edwards,32
Benjamin Soto,35
Marcus Gregory,37
Kelly Pierce,36
Jorge Young,11
Mary Harrington,8
Brian Hill,24
Dustin Stark,46
John Warner,47
Julia Madden,44
Stephen Smith,33
Melissa Little,49
Jeanne Benjamin,23
Tammy Fletcher,13
Scott Grant,9
Timothy Chavez,21
Caitlin Bennett,40
Kimberly Hamilton,44
Antonio Murphy,12
Marissa Fischer,30
Michelle Riley,39
Denise Martinez,39
Kyle Scott,33
Debbie Cox,15
Mrs. Paula Jones,24
Darius Reid,27
Megan Alvarez,13
Donna Williams,41
Jacob Gibbs,40
Lauren Golden,43
Michael Cox,11
Erin Foster,11
Felicia Wilkinson,35
Alvin West,25
Savannah Neal,17
Megan Freeman,17
Brian Reed,38
Allison Martinez,10
Nicole Williams,21
Julie Lewis,37
Rachel Pena,26
Mark Ward,33
Richard Patterson,32
Tracy Bass,19
Lee Nunez,10
Angel Adams,49
Jennifer Wright,16
Timothy Browning,9
Joanna Black,20
Tracy Douglas,42
Mr. Jonathan Williams,36
Yvette Huffman,45
Mr. Joseph Herring,21
Bridget Williams,14
Patrick Jenkins,14
Angela Hall,41
Christine Patterson,22
Cory Johnson,7
Samantha Ellison,48
Danielle Bullock,14
Veronica Adams,37
Victor Reyes,37
Timothy Patel DVM,49
Corey Rodriguez,2
Michael Ford,28
Cody Martin,28
Brian Morales,34
David Henderson,23
Rebecca Mcbride,25
Amber Arellano,31
Frank Olson,43
Kristie Townsend,30
Veronica Coleman,39
Michael Petersen,15
Cory Schmidt MD,43
Tina Banks,43
Nancy Jones,50
Brittany Williams,17
Angelica Simmons,26
Stephen Harris,35
Stephanie Jones,17
Mark Hartman,7
Jennifer Graham,26
Patricia Joseph,37
Michelle Reed,20
Joshua Mendoza,28
Cindy Robinson DDS,15
Mr. Matthew Johnson DDS,42
Derek Wilson,25
Martha Flores,20
Cassandra Mendoza,22
Mark Lee,21
Edward Lopez,46
Adam Moore,27
Spencer Roberts,24
John Williams,13
Matthew Hughes,32
Earl Eaton,4
Brian Johnson,5
Heather Silva,42
Samantha Salinas,4
Amanda Kline,1
Rachel Nguyen,17
Tammy Brown,9
Matthew Thornton,7
Elizabeth Collins,7
Matthew Cordova,4
Cassandra Foster,4
Dustin Johnson,48
Paige Lewis,26
Robert Chavez,7
Rebecca Lucas,23
Jeffrey Stafford,23
Eric Ryan DDS,15
Angela Knight,21
Timothy Martin,3
Kristi Rodriguez,40
Cathy Adams,40
Brian Hoffman,3
Christopher Wright,50
Laurie Ramos,47
Alexis Hayes,12
Amy Brown,34
Jose Vance,41
Nicole Mueller,33
Donald Gomez,36
Ricardo Roberts,9
Justin Lopez,27
Daniel Kerr,27
Taylor Dean,27
Lydia Phillips,16
Donna Terry,21
Ronald Gonzalez,21
Katrina Cruz,44
Samantha Sherman,19
Gregory Rodriguez,19
Donald Kelly,44
Jennifer Mccoy,49
Corey Mitchell,46
Andrew Lawson,35
Jesse Brown,18
Michael Dixon,33
Scott Proctor,36
Judy Griffith,28
Christina Potter,45
Anthony Guerra,11
Meredith Hull,3
Marie Andrade,21
Cody Meyer,43
Karen Cain,43
Nicholas Tucker,43
Robert Stewart,48
Melissa Smith,48
Kimberly Cox,9
Cheyenne Ramsey,42
Sheri Johnson,3
Heather Stewart,32
Justin Santos,32
Cassandra Owens,5
Matthew Davis,24
Jacob Orozco,31
Maria Jackson,38
Randy Roach,25
Ashley Rivers,40
Mary Hopkins,33
Karen Williamson,10
Mary Nguyen,10
Samantha Gomez,13
Donald Bender,5
Austin Smith,6
Rachel Thomas,6
Scott Smith,35
Matthew Morgan,47
Carlos Lawrence,15
John Reynolds,2
Juan Spencer,6
Sandy Ward,12
Michael Roberson,12
Christina Caldwell,23
Thomas Villanueva,50
Meagan Hughes,18
Alex White,18
Lindsey Mathis,7
Carmen Barker,29
Elizabeth Dunn,29
Vincent Matthews,29
Victor Ward,15
Danny Palmer,15
Donald Anderson,32
Jennifer Kennedy,19
Gary Torres,13
Michael Vargas,46
Emily Sandoval,45
Nancy Silva,50
Jessica Morris,7
Jeremy Christensen,7
Kenneth Barnes,2
Rebecca Goodman,47
Felicia Collier,26
Tracy Hartman,25
Angela Cortez,37
